ano;mes;temperatura
1967;AGO.;17.94
1968;AGO.;14.51
1969;AGO.;16.56
1970;AGO.;15.52
1971;AGO.;16.37
1972;AGO.;17.01
1973;AGO.;15.15
1974;AGO.;16.61
1975;AGO.;18.44
1976;AGO.;15.83
1977;AGO.;17.98
1978;AGO.;15.46
1979;AGO.;17.32
1980;AGO.;16.85
1981;AGO.;16.18
1982;AGO.;17.39
1983;AGO.;16.44
1984;AGO.;15.31
1985;AGO.;17.44
1986;AGO.;17.27
1987;AGO.;15.72
1988;AGO.;16.49
1989;AGO.;16.12
1990;AGO.;15.21
1991;AGO.;16.68
1992;AGO.;15.3
1993;AGO.;15.36
1994;AGO.;16.22
1995;AGO.;18.72
1996;AGO.;15.53
1997;AGO.;17.1
1998;AGO.;18.4
1999;AGO.;16.4
2000;AGO.;16.2
2001;AGO.;17.8
2002;AGO.;19.2
2003;AGO.;15.1
2004;AGO.;16.3
2005;AGO.;18.2
2006;AGO.;17.4
2007;AGO.;17.0
2008;AGO.;17.6
2009;AGO.;17.3
2010;AGO.;16.0
2011;AGO.;17.2
2012;AGO.;17.8
2013;AGO.;16.5
2014;AGO.;16.9
2015;AGO.;18.5
2016;AGO.;16.7
2017;AGO.;16.3
2018;AGO.;16.2
2019;AGO.;16.6
2020;AGO.;16.5
2021;AGO.;17.3
2022;AGO.;16.25
2023;AGO.;18.4
1933;SET.;16.18
1934;SET.;16.17
1935;SET.;16.19
1936;SET.;15.37
1937;SET.;15.79
1938;SET.;16.4
1939;SET.;15.64
1940;SET.;16.23
1941;SET.;13.79
1942;SET.;15.31
1943;SET.;14.98
1944;SET.;17.12
1945;SET.;15.73
1946;SET.;17.79
1947;SET.;16.09
1948;SET.;16.71
1949;SET.;16.11
1950;SET.;17.12
1951;SET.;16.34
1952;SET.;15.97
1953;SET.;17.67
1954;SET.;17.7
1955;SET.;16.6
1956;SET.;17.74
1957;SET.;15.82
1958;SET.;16.77
1959;SET.;18.27
1960;SET.;17.24
1961;SET.;19.68
1962;SET.;17.11
1963;SET.;19.72
1964;SET.;17.26
1965;SET.;18.75
1966;SET.;16.04
1967;SET.;17.69
1968;SET.;16.24
1969;SET.;17.95
1970;SET.;16.31
1971;SET.;16.93
1972;SET.;17.48
1973;SET.;16.25
1974;SET.;16.79
1975;SET.;17.61
1976;SET.;16.14
1977;SET.;18.23
1978;SET.;17.09
1979;SET.;16.73
1980;SET.;15.71
1981;SET.;18.34
1982;SET.;17.36
1983;SET.;15.38
1984;SET.;16.43
1985;SET.;17.0
1986;SET.;16.91
1987;SET.;16.39
1988;SET.;18.62
1989;SET.;17.03
1990;SET.;16.19
1991;SET.;16.36
1992;SET.;16.81
1993;SET.;16.9
1994;SET.;18.76
1995;SET.;17.58
1996;SET.;16.84
1997;SET.;18.4
1998;SET.;18.1
1999;SET.;17.7
2000;SET.;17.4
2001;SET.;17.7
2002;SET.;17.1
2003;SET.;17.4
2004;SET.;19.9
2005;SET.;17.1
2006;SET.;17.4
2007;SET.;19.1
2008;SET.;17.0
2009;SET.;18.9
2010;SET.;18.5
2011;SET.;17.1
2012;SET.;18.9
2013;SET.;18.0
2014;SET.;19.0
2015;SET.;19.8
2016;SET.;17.5
2017;SET.;19.3
2018;SET.;18.3
2019;SET.;18.9
2020;SET.;20.6
2021;SET.;19.7
2022;SET.;15.96
2023;SET.;21.3
1933;OUT.;16.9
1934;OUT.;16.27
1935;OUT.;17.24
1936;OUT.;17.65
1937;OUT.;16.67
1938;OUT.;17.28
1939;OUT.;17.63
1940;OUT.;17.32
1941;OUT.;16.73
1942;OUT.;17.15
1943;OUT.;17.08
1944;OUT.;19.7
1945;OUT.;17.68
1946;OUT.;18.4
1947;OUT.;15.2
1948;OUT.;16.74
1949;OUT.;16.62
1950;OUT.;16.94
1951;OUT.;17.55
1952;OUT.;18.02
1953;OUT.;18.33
1954;OUT.;17.81
1955;OUT.;16.39
1956;OUT.;17.08
1957;OUT.;19.12
1958;OUT.;18.34
1959;OUT.;18.83
1960;OUT.;19.71
1961;OUT.;20.1
1962;OUT.;16.68
1963;OUT.;18.93
1964;OUT.;17.01
1965;OUT.;18.3
1966;OUT.;18.06
1967;OUT.;20.19
1968;OUT.;17.7
1969;OUT.;16.4
1970;OUT.;17.44
1971;OUT.;17.1
1972;OUT.;18.65
1973;OUT.;17.49
1974;OUT.;17.18
1975;OUT.;18.04
1976;OUT.;17.42
1977;OUT.;19.8
1978;OUT.;19.23
1979;OUT.;19.82
1980;OUT.;19.32
1981;OUT.;17.12
1982;OUT.;18.89
1983;OUT.;18.17
1984;OUT.;19.59
1985;OUT.;18.97
1986;OUT.;18.64
1987;OUT.;18.89
1988;OUT.;17.77
1989;OUT.;16.76
1990;OUT.;20.03
1991;OUT.;19.18
1992;OUT.;19.13
1993;OUT.;20.16
1994;OUT.;20.29
1995;OUT.;18.14
1996;OUT.;19.2
1997;OUT.;19.6
1998;OUT.;18.2
1999;OUT.;17.2
2000;OUT.;20.9
2001;OUT.;19.3
2002;OUT.;22.0
2003;OUT.;19.1
2004;OUT.;18.6
2005;OUT.;20.0
2006;OUT.;19.1
2007;OUT.;20.1
2008;OUT.;19.8
2009;OUT.;19.0
2010;OUT.;17.7
2011;OUT.;19.3
2012;OUT.;21.1
2013;OUT.;18.9
2014;OUT.;20.2
2015;OUT.;20.9
2016;OUT.;19.5
2017;OUT.;20.4
2018;OUT.;19.2
2019;OUT.;20.9
2020;OUT.;20.4
2021;OUT.;18.1
2022;OUT.;19.96
2023;OUT.;20.4
1933;NOV.;16.76
1934;NOV.;18.76
1935;NOV.;18.36
1936;NOV.;17.98
1937;NOV.;17.55
1938;NOV.;18.49
1939;NOV.;19.09
1940;NOV.;18.35
1941;NOV.;18.64
1942;NOV.;18.38
1943;NOV.;18.26
1944;NOV.;17.63
1945;NOV.;18.33
1946;NOV.;18.89
1947;NOV.;16.95
1948;NOV.;18.71
1949;NOV.;17.61
1950;NOV.;17.76
1951;NOV.;18.97
1952;NOV.;19.0
1953;NOV.;18.56
1954;NOV.;18.57
1955;NOV.;16.87
1956;NOV.;16.76
1957;NOV.;18.67
1958;NOV.;20.54
1959;NOV.;19.06
1960;NOV.;19.2
1961;NOV.;20.43
1962;NOV.;18.6
1963;NOV.;20.63
1964;NOV.;17.55
1965;NOV.;19.62
1966;NOV.;18.75
1967;NOV.;18.76
1968;NOV.;19.94
1969;NOV.;19.72
1970;NOV.;17.7
1971;NOV.;17.84
1972;NOV.;19.75
1973;NOV.;17.93
1974;NOV.;19.44
1975;NOV.;19.45
1976;NOV.;19.53
1977;NOV.;20.18
1978;NOV.;19.76
1979;NOV.;19.25
1980;NOV.;19.48
1981;NOV.;20.36
1982;NOV.;21.34
1983;NOV.;20.91
1984;NOV.;20.33
1985;NOV.;20.26
1986;NOV.;21.22
1987;NOV.;20.23
1988;NOV.;18.88
1989;NOV.;19.25
