ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2031-06-30;19.850112865436547;15.563858924096536;18.113310447142744;19.84197397049743;19.85919776776553;-2.9011716027776835;-2.9011716027776835;-2.9011716027776835;-2.9011716027776835;-2.9011716027776835;-2.9011716027776835;0.0;0.0;0.0;16.948941262658863
2031-07-31;19.85156679859345;16.533761446794;19.008584644683225;19.843301950063292;19.860845242745015;-2.1482788370922843;-2.1482788370922843;-2.1482788370922843;-2.1482788370922843;-2.1482788370922843;-2.1482788370922843;0.0;0.0;0.0;17.703287961501164
2031-08-31;19.85302073175035;16.897867047934366;19.489635911450996;19.844663627488224;19.862424509150912;-1.664982937576351;-1.664982937576351;-1.664982937576351;-1.664982937576351;-1.664982937576351;-1.664982937576351;0.0;0.0;0.0;18.188037794174
2031-09-30;19.854427763837673;17.94305126590256;20.49684668388744;19.845887419686235;19.86389610502536;-0.5986741047935629;-0.5986741047935629;-0.5986741047935629;-0.5986741047935629;-0.5986741047935629;-0.5986741047935629;0.0;0.0;0.0;19.25575365904411
2031-10-31;19.855881696994576;19.739658215872378;22.269288429582954;19.84717846865207;19.865464003118454;1.1878739307483963;1.1878739307483963;1.1878739307483963;1.1878739307483963;1.1878739307483963;1.1878739307483963;0.0;0.0;0.0;21.04375562774297
2031-11-30;19.8572887290819;20.95598592491066;23.487321194184027;19.848470045097717;19.86703845469581;2.291582526584071;2.291582526584071;2.291582526584071;2.291582526584071;2.291582526584071;2.291582526584071;0.0;0.0;0.0;22.148871255665973
2031-12-31;19.858742662238804;21.96227752340595;24.54091025614947;19.849801444269012;19.868628895426404;3.4333483063631705;3.4333483063631705;3.4333483063631705;3.4333483063631705;3.4333483063631705;3.4333483063631705;0.0;0.0;0.0;23.292090968601975
2032-01-31;19.860196595395703;20.85278862586244;23.46351580153402;19.85113254035845;19.870199929491868;2.3610252797299647;2.3610252797299647;2.3610252797299647;2.3610252797299647;2.3610252797299647;2.3610252797299647;0.0;0.0;0.0;22.221221875125668
2032-02-29;19.86155672641345;21.420438546549917;23.98330118354305;19.852346728761734;19.871739786261024;2.8874436193310213;2.8874436193310213;2.8874436193310213;2.8874436193310213;2.8874436193310213;2.8874436193310213;0.0;0.0;0.0;22.74900034574447
2032-03-31;19.863010659570353;19.240361563411305;21.74828361982361;19.85366008690392;19.8733992535678;0.6059587794466623;0.6059587794466623;0.6059587794466623;0.6059587794466623;0.6059587794466623;0.6059587794466623;0.0;0.0;0.0;20.468969439017016
2032-04-30;19.864417691657675;17.027491971187825;19.72897260692106;19.85491166476303;19.87496347205449;-1.4924885324222217;-1.4924885324222217;-1.4924885324222217;-1.4924885324222217;-1.4924885324222217;-1.4924885324222217;0.0;0.0;0.0;18.371929159235453
2032-05-31;19.865871624814574;15.633368713746071;18.29515301377704;19.856135447546034;19.876543571792734;-2.8613995704014235;-2.8613995704014235;-2.8613995704014235;-2.8613995704014235;-2.8613995704014235;-2.8613995704014235;0.0;0.0;0.0;17.00447205441315
2032-06-30;19.867278656901902;15.449685530671388;18.031977830026435;19.85730956548908;19.87807677046141;-3.1139376780633183;-3.1139376780633183;-3.1139376780633183;-3.1139376780633183;-3.1139376780633183;-3.1139376780633183;0.0;0.0;0.0;16.753340978838583
2032-07-31;19.8687325900588;16.458999265252682;18.91365803254761;19.858557045476786;19.87969040698615;-2.2000414871572764;-2.2000414871572764;-2.2000414871572764;-2.2000414871572764;-2.2000414871572764;-2.2000414871572764;0.0;0.0;0.0;17.668691102901526
2032-08-31;19.8701865232157;17.17145041931934;19.699950919913874;19.859924154339286;19.881310196191816;-1.4809959242982615;-1.4809959242982615;-1.4809959242982615;-1.4809959242982615;-1.4809959242982615;-1.4809959242982615;0.0;0.0;0.0;18.389190598917438
2032-09-30;19.871593555303026;18.29184220213023;20.74768686013381;19.861221525366524;19.882877162000966;-0.3364362183290292;-0.3364362183290292;-0.3364362183290292;-0.3364362183290292;-0.3364362183290292;-0.3364362183290292;0.0;0.0;0.0;19.535157336973995
2032-10-31;19.873047488459928;19.622760219535188;22.065727867707114;19.862554683530124;19.884469118959583;0.993351390987424;0.993351390987424;0.993351390987424;0.993351390987424;0.993351390987424;0.993351390987424;0.0;0.0;0.0;20.866398879447352
2032-11-30;19.87445452054725;20.893338240377854;23.401847553486128;19.863840940624144;19.886014796874303;2.2231502484489836;2.2231502484489836;2.2231502484489836;2.2231502484489836;2.2231502484489836;2.2231502484489836;0.0;0.0;0.0;22.097604768996234
2032-12-31;19.875908453704152;21.940863810432568;24.36336590075241;19.865089895295927;19.887675686327995;3.279629969544936;3.279629969544936;3.279629969544936;3.279629969544936;3.279629969544936;3.279629969544936;0.0;0.0;0.0;23.155538423249087
2033-01-31;19.877362386861055;21.44622381434835;24.09869962453601;19.866366441069058;19.889201177235567;2.8706099264254457;2.8706099264254457;2.8706099264254457;2.8706099264254457;2.8706099264254457;2.8706099264254457;0.0;0.0;0.0;22.7479723132865
2033-02-28;19.878675616809225;21.669806777453452;24.16354523171435;19.86753145448248;19.89064915678653;3.021280739887722;3.021280739887722;3.021280739887722;3.021280739887722;3.021280739887722;3.021280739887722;0.0;0.0;0.0;22.899956356696947
2033-03-31;19.880129549966124;19.228293555039002;21.6399692748657;19.8688275996938;19.892242636386996;0.5869420667626594;0.5869420667626594;0.5869420667626594;0.5869420667626594;0.5869420667626594;0.5869420667626594;0.0;0.0;0.0;20.467071616728784
2033-04-30;19.88153658205345;17.155099065525096;19.618190573747125;19.87007475977966;19.89380433272311;-1.4598155482367912;-1.4598155482367912;-1.4598155482367912;-1.4598155482367912;-1.4598155482367912;-1.4598155482367912;0.0;0.0;0.0;18.42172103381666
2033-05-31;19.88299051521035;15.680460470764917;18.17336608747805;19.87130832984527;19.895468595304703;-2.9113370805744974;-2.9113370805744974;-2.9113370805744974;-2.9113370805744974;-2.9113370805744974;-2.9113370805744974;0.0;0.0;0.0;16.97165343463585
2033-06-30;19.884397547297674;15.592614058180729;18.012894455853722;19.87249969137976;19.897149099112564;-3.043665676870153;-3.043665676870153;-3.043665676870153;-3.043665676870153;-3.043665676870153;-3.043665676870153;0.0;0.0;0.0;16.840731870427522
2033-07-31;19.885851480454576;16.440071094558558;18.8986343045296;19.873832573092205;19.898771414875114;-2.1807973812599872;-2.1807973812599872;-2.1807973812599872;-2.1807973812599872;-2.1807973812599872;-2.1807973812599872;0.0;0.0;0.0;17.70505409919459
2033-08-31;19.887305413611475;17.106331210644626;19.595233878622967;19.875064869070272;19.90037382826047;-1.5410034219130468;-1.5410034219130468;-1.5410034219130468;-1.5410034219130468;-1.5410034219130468;-1.5410034219130468;0.0;0.0;0.0;18.34630199169843
2033-09-30;19.8887124456988;18.13530716454246;20.783618688656485;19.876317820412336;19.901895763362653;-0.4258607998013109;-0.4258607998013109;-0.4258607998013109;-0.4258607998013109;-0.4258607998013109;-0.4258607998013109;0.0;0.0;0.0;19.46285164589749
2033-10-31;19.890166378855703;19.55269665725117;22.16036662793371;19.87752234563864;19.90353630949468;1.056323043674741;1.056323043674741;1.056323043674741;1.056323043674741;1.056323043674741;1.056323043674741;0.0;0.0;0.0;20.946489422530444
