ano;mes;temperatura
2011;JUN.;14.8
2012;JUN.;17.0
2013;JUN.;17.5
2014;JUN.;17.4
2015;JUN.;17.1
2016;JUN.;14.5
2017;JUN.;16.8
2018;JUN.;17.4
2019;JUN.;17.9
2020;JUN.;18.4
2021;JUN.;16.4
2022;JUN.;16.16138888888889
2023;JUN.;16.8
1933;JUL.;13.316666666666666
1934;JUL.;13.69717741935484
1935;JUL.;15.7122311827957
1936;JUL.;14.904005376344085
1937;JUL.;15.28965053763441
1938;JUL.;14.24139784946237
1939;JUL.;12.934811827956995
1940;JUL.;16.360618279569895
1941;JUL.;14.01989247311828
1942;JUL.;11.574059139784945
1943;JUL.;14.022043010752688
1944;JUL.;12.907258064516132
1945;JUL.;14.403091397849462
1946;JUL.;13.764516129032257
1947;JUL.;13.39354838709677
1948;JUL.;16.192204301075268
1949;JUL.;14.495698924731181
1950;JUL.;14.80161290322581
1951;JUL.;13.085349462365594
1952;JUL.;14.85013440860215
1953;JUL.;13.254569892473114
1954;JUL.;15.624059139784949
1955;JUL.;14.781854838709679
1956;JUL.;13.946102150537634
1957;JUL.;14.421370967741936
1958;JUL.;16.007661290322577
1959;JUL.;16.543817204301074
1960;JUL.;15.084274193548383
1961;JUL.;15.686962365591398
1962;JUL.;13.241801075268812
1963;JUL.;15.393279569892472
1964;JUL.;12.732123655913979
1965;JUL.;15.268548387096775
1966;JUL.;16.45967741935484
1967;JUL.;15.588978494623653
1968;JUL.;14.177956989247313
1969;JUL.;15.27741935483871
1970;JUL.;15.054301075268821
1971;JUL.;15.036290322580646
1972;JUL.;15.442876344086024
1973;JUL.;16.37459677419355
1974;JUL.;15.844220430107532
1975;JUL.;13.72943548387097
1976;JUL.;14.823790322580646
1977;JUL.;18.322311827956987
1978;JUL.;16.52862903225806
1979;JUL.;14.573252688172044
1980;JUL.;16.26962365591398
1981;JUL.;13.74704301075269
1982;JUL.;16.45712365591398
1983;JUL.;17.064919354838707
1984;JUL.;16.64153225806452
1985;JUL.;14.730376344086023
1986;JUL.;15.108198924731187
1987;JUL.;17.75416666666667
1988;JUL.;12.932795698924734
1989;JUL.;14.158198924731185
1990;JUL.;14.10766129032258
1991;JUL.;15.69005376344086
1992;JUL.;15.417473118279572
1993;JUL.;16.76092741935484
1994;JUL.;16.475672043010746
1995;JUL.;17.806357526881712
1996;JUL.;13.913844086021504
1997;JUL.;17.1
1998;JUL.;16.0
1999;JUL.;16.3
2000;JUL.;14.6
2001;JUL.;16.5
2002;JUL.;15.7
2003;JUL.;16.7
2004;JUL.;15.3
2005;JUL.;16.0
2006;JUL.;16.9
2007;JUL.;15.3
2008;JUL.;16.1
2009;JUL.;15.8
2010;JUL.;17.4
2011;JUL.;16.4
2012;JUL.;16.4
2013;JUL.;15.4
2014;JUL.;16.1
2015;JUL.;17.1
2016;JUL.;16.3
2017;JUL.;15.5
2018;JUL.;16.9
2019;JUL.;15.8
2020;JUL.;17.4
2021;JUL.;14.4
2022;JUL.;17.700188172043003
2023;JUL.;16.8
1933;AGO.;15.078629032258062
1934;AGO.;15.201612903225804
1935;AGO.;14.88010752688172
1936;AGO.;14.018991935483871
1937;AGO.;16.324327956989247
1938;AGO.;14.940456989247314
1939;AGO.;16.18373655913978
1940;AGO.;16.361424731182794
1941;AGO.;17.042204301075266
1942;AGO.;14.781451612903227
1943;AGO.;13.366801075268818
1944;AGO.;15.92997311827957
1945;AGO.;17.131854838709682
1946;AGO.;16.619220430107525
1947;AGO.;14.781451612903222
1948;AGO.;14.06236559139785
1949;AGO.;15.562231182795703
1950;AGO.;17.031048387096774
1951;AGO.;13.869489247311828
1952;AGO.;16.674462365591395
1953;AGO.;15.70564516129032
1954;AGO.;16.35672043010753
1955;AGO.;15.314112903225807
1956;AGO.;13.665591397849463
1957;AGO.;15.818413978494622
1958;AGO.;17.888575268817206
1959;AGO.;16.07298387096774
1960;AGO.;16.970967741935485
1961;AGO.;17.32177419354839
1962;AGO.;15.174193548387098
1963;AGO.;16.727822580645157
1964;AGO.;16.338978494623653
1965;AGO.;16.890497311827957
1966;AGO.;15.600806451612902
1967;AGO.;17.940322580645155
1968;AGO.;14.509139784946235
1969;AGO.;16.563575268817207
1970;AGO.;15.522043010752686
1971;AGO.;16.365456989247313
1972;AGO.;17.01236559139785
1973;AGO.;15.153360215053763
1974;AGO.;16.611827956989245
1975;AGO.;18.43938172043011
1976;AGO.;15.828360215053761
1977;AGO.;17.976747311827957
1978;AGO.;15.456989247311826
